vectorizer,n_clusters,silhouette,ari_vs_genre,nmi_vs_genre
tfidf,6,0.015300184488296509,0.00826654933087656,0.027869366560667404
doc2vec,6,0.3645893931388855,-0.0003905529120294694,0.007266770587525248
