comment_id,text,raw_text,author,votes,replies,time,is_reply,is_hearted,genre,movie_title,movie_year,tmdb_id,imdb_id,trailer_id,source
UgzLNgDVbILLVauXAo54AaABAg,"Oh I love how the movie basically describes how you can still hold that love, reminiscing all the good memories, but you both know that you don't need to be together at the end anyway. Because those beautiful memories and feelings are only enough to keep you satisfied and happy with what you two have now.","Oh I love how the movie basically describes how you can still hold that love, reminiscing all the good memories, but you both know that you don't need to be together at the end anyway. Because those beautiful memories and feelings are only enough to keep you satisfied and happy with what you two have now.",@myllasunaya3871,6200,43,3 years ago,False,False,romance,Past Lives,2023,666277,tt13238346,kA244xewjcI,youtube
UghQVUg2VNbLRHgCoAEC,"I thought this movie was gonna be boring but I finally watched it for the first time tonight and cried like a baby through the whole thing. Ugh, does this kind of love even exist anymore?","I thought this movie was gonna be boring but I finally watched it for the first time tonight and cried like a baby through the whole thing. Ugh, does this kind of love even exist anymore?",@Maria-nz6tc,4600,66,10 years ago,False,False,romance,The Notebook,2004,11036,tt0332280,FC6biTjEyZw,youtube
UgzNzriKwOqZLS_Fe5p4AaABAg,"""Love doesn't need to be perfect. It only needs to be true..""","""Love doesn't need to be perfect. It only needs to be true..""",@millennialsmusicmix,2600,14,12 years ago,False,False,romance,The Notebook,2004,11036,tt0332280,FC6biTjEyZw,youtube
UgjcUki-9PTRDXgCoAEC,When he says that he wrote to her everyday for a year...all I can think is 'no post on Sundays' from harry potter.,When he says that he wrote to her everyday for a year...all I can think is 'no post on Sundays' from harry potter.,@crystalewing9755,2200,13,11 years ago,False,False,romance,The Notebook,2004,11036,tt0332280,FC6biTjEyZw,youtube
UggEpfiyYRhJTngCoAEC,regina george being nice,regina george being nice,@airenelavador8066,2700,13,11 years ago,False,False,romance,The Notebook,2004,11036,tt0332280,FC6biTjEyZw,youtube
UgiIGGl6ecY093gCoAEC,This is like titanic but not on a boat,This is like titanic but not on a boat,@rosehogan2962,4300,44,9 years ago,False,False,romance,The Notebook,2004,11036,tt0332280,FC6biTjEyZw,youtube
UgymHPI3snUEUwvr5at4AaABAg,Whoever says this film is boring or not good does not understand true horror. Jump scares are not horror.,Whoever says this film is boring or not good does not understand true horror. Jump scares are not horror.,@HumbleSatisfactionWG,27000,314,6 years ago,False,False,horror,Hereditary,2018,493922,tt7784604,V6wWKNij_1M,youtube
Ugw-L8O6Gj7IdtRqHTJ4AaABAg,"If your feeling lonely I recommend this, you won’t feel alone anymore.","If your feeling lonely I recommend this, you won’t feel alone anymore.",@levitrap5192,13000,85,6 years ago,False,False,horror,Hereditary,2018,493922,tt7784604,V6wWKNij_1M,youtube
Ugw8B4prFbG4RNtVSm14AaABAg,A couple of years ago an Australian cinema accidentally showed this trailer during a screening of Peter Rabbit...poor kids lol,A couple of years ago an Australian cinema accidentally showed this trailer during a screening of Peter Rabbit...poor kids lol,@MrBen51309,20000,104,5 years ago,False,False,horror,Hereditary,2018,493922,tt7784604,V6wWKNij_1M,youtube
Ugy2ejKfRdYH1kr0-Wd4AaABAg,This is how you do a misleading trailer correctly folks.,This is how you do a misleading trailer correctly folks.,@Zesty-dg9ko,457,12,2 years ago,False,False,horror,Hereditary,2018,493922,tt7784604,V6wWKNij_1M,youtube
Ugw1pcHYEGX3wQM0_N54AaABAg,The mother of little girl deserves a seperate Oscar for her acting she did.,The mother of little girl deserves a seperate Oscar for her acting she did.,@nitinrawat7581,11000,39,5 years ago,False,False,horror,Hereditary,2018,493922,tt7784604,V6wWKNij_1M,youtube
UgyEvCRbKgQ_x5NjIPl4AaABAg,When you realise the cop from the beginning was actually good. Wanted to see his id cuz he knew black people go missing in that creepy place,When you realise the cop from the beginning was actually good. Wanted to see his id cuz he knew black people go missing in that creepy place,@sara.doc0,26000,166,6 years ago,False,False,horror,Get Out,2017,419430,tt5052448,DzfpyUB60YY,youtube
Ugzds-208n2EAClps9J4AaABAg,"Imagine being a black man and you meet your white girls’ white parents for the first time. Go to their house, hang out, have dinner, then everybody sits down to watch a movie and this one gets picked...","Imagine being a black man and you meet your white girls’ white parents for the first time. Go to their house, hang out, have dinner, then everybody sits down to watch a movie and this one gets picked...",@bustedup,23000,148,6 years ago,False,False,horror,Get Out,2017,419430,tt5052448,DzfpyUB60YY,youtube
UgiCT1P9iHkyRXgCoAEC,the moral of this movie is don't trust anyone that eats dry cereal and drinks a glass of milk separately,the moral of this movie is don't trust anyone that eats dry cereal and drinks a  glass of milk separately,@kingkay8326,24000,151,8 years ago,False,False,horror,Get Out,2017,419430,tt5052448,DzfpyUB60YY,youtube
UgyouLygNr4rWPqLHkR4AaABAg,I’m so glad I watched this without seeing the trailer. This is literally a summary of the entire movie from beginning to end,I’m so glad I watched this without seeing the trailer. This is literally a summary of the entire movie from beginning to end,@Wayhoo,1900,23,2 years ago,False,False,horror,Get Out,2017,419430,tt5052448,DzfpyUB60YY,youtube
Ugz7SIr6HkLS7fJx_Jl4AaABAg,this wasn’t a trailer this was the whole goddamn movie,"this wasn’t a trailer

this was the whole goddamn movie",@reuben03,9600,67,5 years ago,False,False,horror,Get Out,2017,419430,tt5052448,DzfpyUB60YY,youtube
